,Date,Year,No of Tweets
1066,2019-01-03,2019,9
1067,2019-01-04,2019,7
1068,2019-01-05,2019,12
1069,2019-01-06,2019,12
1070,2019-01-07,2019,6
1071,2019-01-08,2019,5
1072,2019-01-09,2019,7
1073,2019-01-10,2019,17
1074,2019-01-11,2019,14
1075,2019-01-12,2019,13
1076,2019-01-13,2019,9
1077,2019-01-14,2019,25
1078,2019-01-15,2019,19
1079,2019-01-16,2019,2
1080,2019-01-17,2019,3
1081,2019-01-18,2019,15
1082,2019-01-19,2019,25
1083,2019-01-20,2019,25
1084,2019-01-21,2019,25
1085,2019-01-22,2019,13
1086,2019-01-23,2019,8
1087,2019-01-24,2019,10
1088,2019-01-25,2019,4
1089,2019-01-26,2019,10
1090,2019-01-27,2019,12
1091,2019-01-28,2019,7
1092,2019-01-29,2019,3
1093,2019-01-30,2019,12
1094,2019-01-31,2019,17
1095,2019-02-01,2019,12
1096,2019-02-02,2019,1
1097,2019-02-03,2019,6
1098,2019-02-04,2019,1
1099,2019-02-05,2019,4
1100,2019-02-06,2019,4
1101,2019-02-07,2019,6
1102,2019-02-08,2019,10
1103,2019-02-09,2019,16
1104,2019-02-10,2019,14
1105,2019-02-11,2019,9
1106,2019-02-12,2019,8
1107,2019-02-13,2019,9
1108,2019-02-14,2019,9
1109,2019-02-15,2019,6
1110,2019-02-16,2019,2
1111,2019-02-17,2019,20
1112,2019-02-18,2019,12
1113,2019-02-19,2019,16
1114,2019-02-20,2019,10
1115,2019-02-21,2019,5
1116,2019-02-22,2019,8
1117,2019-02-23,2019,5
1118,2019-02-24,2019,19
1119,2019-02-25,2019,17
1120,2019-02-26,2019,4
1121,2019-02-27,2019,14
1122,2019-02-28,2019,2
1123,2019-03-01,2019,15
1124,2019-03-02,2019,9
1125,2019-03-03,2019,9
1126,2019-03-04,2019,16
1127,2019-03-05,2019,18
1128,2019-03-06,2019,13
1129,2019-03-07,2019,5
1130,2019-03-08,2019,34
1131,2019-03-09,2019,11
1132,2019-03-10,2019,11
1133,2019-03-11,2019,15
1134,2019-03-12,2019,6
1135,2019-03-13,2019,36
1136,2019-03-14,2019,13
1137,2019-03-15,2019,13
1138,2019-03-16,2019,20
1139,2019-03-17,2019,31
1140,2019-03-18,2019,13
1141,2019-03-19,2019,11
1142,2019-03-20,2019,11
1143,2019-03-21,2019,7
1144,2019-03-22,2019,15
1145,2019-03-24,2019,3
1146,2019-03-25,2019,9
1147,2019-03-26,2019,16
1148,2019-03-27,2019,11
1149,2019-03-28,2019,13
1150,2019-03-29,2019,13
1151,2019-03-30,2019,5
1152,2019-03-31,2019,3
1153,2019-04-01,2019,8
1154,2019-04-02,2019,17
1155,2019-04-03,2019,4
1156,2019-04-04,2019,10
1157,2019-04-05,2019,20
1158,2019-04-06,2019,21
1159,2019-04-07,2019,6
1160,2019-04-08,2019,10
1161,2019-04-09,2019,17
1162,2019-04-10,2019,12
1163,2019-04-11,2019,11
1164,2019-04-12,2019,14
1165,2019-04-13,2019,17
1166,2019-04-14,2019,9
1167,2019-04-15,2019,21
1168,2019-04-16,2019,6
1169,2019-04-17,2019,11
1170,2019-04-18,2019,20
1171,2019-04-19,2019,16
1172,2019-04-20,2019,17
1173,2019-04-21,2019,13
1174,2019-04-22,2019,42
1175,2019-04-23,2019,19
1176,2019-04-24,2019,17
1177,2019-04-25,2019,21
1178,2019-04-26,2019,12
1179,2019-04-27,2019,10
1180,2019-04-28,2019,8
1181,2019-04-29,2019,11
1182,2019-04-30,2019,11
1183,2019-05-01,2019,68
1184,2019-05-02,2019,24
1185,2019-05-03,2019,21
1186,2019-05-04,2019,23
1187,2019-05-05,2019,30
1188,2019-05-06,2019,14
1189,2019-05-07,2019,3
1190,2019-05-08,2019,38
1191,2019-05-09,2019,6
1192,2019-05-10,2019,41
1193,2019-05-11,2019,71
1194,2019-05-12,2019,29
1195,2019-05-13,2019,29
1196,2019-05-14,2019,16
1197,2019-05-15,2019,8
1198,2019-05-16,2019,10
1199,2019-05-17,2019,15
1200,2019-05-18,2019,14
1201,2019-05-19,2019,18
1202,2019-05-20,2019,19
1203,2019-05-21,2019,16
1204,2019-05-22,2019,35
1205,2019-05-23,2019,14
1206,2019-05-24,2019,28
1207,2019-05-25,2019,20
1208,2019-05-26,2019,12
1209,2019-05-27,2019,18
1210,2019-05-28,2019,9
1211,2019-05-29,2019,8
1212,2019-05-30,2019,20
1213,2019-05-31,2019,15
1214,2019-06-01,2019,22
1215,2019-06-02,2019,15
1216,2019-06-03,2019,21
1217,2019-06-04,2019,7
1218,2019-06-05,2019,15
1219,2019-06-06,2019,11
1220,2019-06-07,2019,16
1221,2019-06-08,2019,13
1222,2019-06-09,2019,29
1223,2019-06-10,2019,17
1224,2019-06-11,2019,21
1225,2019-06-12,2019,9
1226,2019-06-13,2019,37
1227,2019-06-14,2019,14
1228,2019-06-15,2019,37
1229,2019-06-16,2019,24
1230,2019-06-17,2019,9
1231,2019-06-18,2019,16
1232,2019-06-19,2019,15
1233,2019-06-20,2019,6
1234,2019-06-21,2019,7
1235,2019-06-22,2019,20
1236,2019-06-23,2019,3
1237,2019-06-24,2019,15
1238,2019-06-25,2019,13
1239,2019-06-26,2019,45
1240,2019-06-27,2019,11
1241,2019-06-28,2019,6
1242,2019-06-29,2019,9
1243,2019-06-30,2019,4
1244,2019-07-01,2019,19
1245,2019-07-02,2019,16
1246,2019-07-03,2019,18
1247,2019-07-04,2019,13
1248,2019-07-05,2019,38
1249,2019-07-06,2019,19
1250,2019-07-07,2019,14
1251,2019-07-08,2019,13
1252,2019-07-09,2019,14
1253,2019-07-10,2019,22
1254,2019-07-11,2019,32
1255,2019-07-12,2019,54
1256,2019-07-13,2019,40
1257,2019-07-14,2019,31
1258,2019-07-15,2019,18
1259,2019-07-16,2019,12
1260,2019-07-17,2019,14
1261,2019-07-18,2019,14
1262,2019-07-19,2019,25
1263,2019-07-20,2019,31
1264,2019-07-21,2019,10
1265,2019-07-22,2019,21
1266,2019-07-23,2019,20
1267,2019-07-24,2019,34
1268,2019-07-25,2019,26
1269,2019-07-26,2019,16
1270,2019-07-27,2019,12
1271,2019-07-28,2019,24
1272,2019-07-29,2019,24
1273,2019-07-30,2019,29
1274,2019-07-31,2019,19
1275,2019-08-01,2019,16
1276,2019-08-02,2019,13
1277,2019-08-03,2019,15
1278,2019-08-04,2019,9
1279,2019-08-05,2019,11
1280,2019-08-06,2019,18
1281,2019-08-07,2019,21
1282,2019-08-08,2019,18
1283,2019-08-09,2019,9
1284,2019-08-10,2019,11
1285,2019-08-11,2019,5
1286,2019-08-12,2019,19
1287,2019-08-13,2019,39
1288,2019-08-14,2019,25
1289,2019-08-15,2019,33
1290,2019-08-16,2019,25
1291,2019-08-17,2019,34
1292,2019-08-18,2019,14
1293,2019-08-19,2019,19
1294,2019-08-20,2019,35
1295,2019-08-21,2019,24
1296,2019-08-22,2019,12
1297,2019-08-23,2019,46
1298,2019-08-24,2019,35
1299,2019-08-25,2019,37
1300,2019-08-26,2019,13
1301,2019-08-27,2019,19
1302,2019-08-28,2019,15
1303,2019-08-29,2019,15
1304,2019-08-30,2019,24
1305,2019-08-31,2019,61
1306,2019-09-01,2019,34
1307,2019-09-02,2019,33
1308,2019-09-03,2019,22
1309,2019-09-04,2019,25
1310,2019-09-05,2019,30
1311,2019-09-06,2019,26
1312,2019-09-07,2019,27
1313,2019-09-08,2019,9
1314,2019-09-09,2019,36
1315,2019-09-10,2019,26
1316,2019-09-11,2019,33
1317,2019-09-12,2019,26
1318,2019-09-13,2019,16
1319,2019-09-14,2019,23
1320,2019-09-15,2019,18
1321,2019-09-16,2019,31
1322,2019-09-17,2019,12
1323,2019-09-18,2019,43
1324,2019-09-19,2019,7
1325,2019-09-20,2019,16
1326,2019-09-21,2019,19
1327,2019-09-22,2019,19
1328,2019-09-23,2019,13
1329,2019-09-24,2019,20
1330,2019-09-25,2019,37
1331,2019-09-26,2019,55
1332,2019-09-27,2019,24
1333,2019-09-28,2019,20
1334,2019-09-29,2019,62
1335,2019-09-30,2019,35
1336,2019-10-01,2019,30
1337,2019-10-02,2019,23
1338,2019-10-03,2019,42
1339,2019-10-04,2019,36
1340,2019-10-05,2019,45
1341,2019-10-06,2019,44
1342,2019-10-07,2019,26
1343,2019-10-08,2019,51
1344,2019-10-09,2019,49
1345,2019-10-10,2019,24
1346,2019-10-11,2019,52
1347,2019-10-12,2019,28
1348,2019-10-13,2019,24
1349,2019-10-14,2019,34
1350,2019-10-15,2019,15
1351,2019-10-16,2019,25
1352,2019-10-17,2019,32
1353,2019-10-18,2019,22
1354,2019-10-19,2019,55
1355,2019-10-20,2019,22
1356,2019-10-21,2019,18
1357,2019-10-22,2019,41
1358,2019-10-23,2019,47
1359,2019-10-24,2019,15
1360,2019-10-25,2019,42
1361,2019-10-26,2019,36
1362,2019-10-27,2019,7
1363,2019-10-28,2019,14
1364,2019-10-29,2019,48
1365,2019-10-30,2019,34
1366,2019-10-31,2019,37
1367,2019-11-01,2019,37
1368,2019-11-02,2019,35
1369,2019-11-03,2019,24
1370,2019-11-04,2019,38
1371,2019-11-05,2019,40
1372,2019-11-06,2019,23
1373,2019-11-07,2019,19
1374,2019-11-08,2019,6
1375,2019-11-09,2019,44
1376,2019-11-10,2019,51
1377,2019-11-11,2019,38
1378,2019-11-12,2019,14
1379,2019-11-13,2019,43
1380,2019-11-14,2019,34
1381,2019-11-15,2019,43
1382,2019-11-16,2019,25
1383,2019-11-17,2019,51
1384,2019-11-18,2019,14
1385,2019-11-19,2019,38
1386,2019-11-20,2019,37
1387,2019-11-21,2019,35
1388,2019-11-22,2019,30
1389,2019-11-23,2019,17
1390,2019-11-24,2019,52
1391,2019-11-25,2019,11
1392,2019-11-26,2019,25
1393,2019-11-27,2019,11
1394,2019-11-28,2019,6
1395,2019-11-29,2019,3
1396,2019-11-30,2019,18
1397,2019-12-01,2019,5
1398,2019-12-02,2019,35
1399,2019-12-03,2019,33
1400,2019-12-04,2019,31
1401,2019-12-05,2019,25
1402,2019-12-06,2019,26
1403,2019-12-07,2019,46
1404,2019-12-08,2019,97
1405,2019-12-09,2019,18
1406,2019-12-10,2019,48
1407,2019-12-11,2019,78
1408,2019-12-12,2019,112
1409,2019-12-13,2019,30
1410,2019-12-14,2019,28
1411,2019-12-15,2019,30
1412,2019-12-16,2019,58
1413,2019-12-17,2019,17
1414,2019-12-18,2019,53
1415,2019-12-19,2019,81
1416,2019-12-20,2019,41
1417,2019-12-21,2019,23
1418,2019-12-22,2019,8
1419,2019-12-23,2019,28
1420,2019-12-24,2019,16
1421,2019-12-25,2019,9
1422,2019-12-26,2019,21
1423,2019-12-27,2019,29
1424,2019-12-28,2019,57
1425,2019-12-29,2019,5
1426,2019-12-30,2019,3
1427,2019-12-31,2019,35
1428,2020-01-01,2020,23
1429,2020-01-02,2020,17
1430,2020-01-03,2020,11
